,Tiempos
176,45844.14836622622
177,45854.14836622622
178,46901.809697168974
179,47243.462582133565
180,47743.462582133565
181,48305.73613249107
182,48805.73613249107
183,49367.49063245521
184,49867.49063245521
185,50350.09625466449
186,50850.09625466449
187,51344.38798778612
188,51844.38798778612
189,52201.22494389048
190,52701.22494389048
191,53387.07082431304
192,53887.07082431304
193,54347.941622528495
194,54847.941622528495
195,55242.754529280326
196,55742.754529280326
197,56204.16093636967
198,56704.16093636967
199,57032.56092454058
200,57532.56092454058
201,58112.74533933727
202,58612.74533933727
203,59183.727729662125
204,59683.727729662125
205,60349.94596723272
206,60849.94596723272
207,61424.51722043765
208,61924.51722043765
209,62344.2635098327
210,62844.263509832715
211,63367.31811034083
212,63867.31811034083
213,64446.94257368654
214,64946.94257368654
215,65472.793399766015
216,65972.79339976601
217,66414.47555094477
218,66914.47555094477
219,67326.30926590764
220,67826.30926590764
221,68297.18431330184
222,68797.18431330184
223,69497.18431330184
224,69997.18431330184
225,70486.73743307297
226,70986.73743307297
227,71430.71562638934
228,71930.71562638934
229,72425.01668832655
230,72925.01668832655
231,73268.2083263211
232,73768.2083263211
233,74346.57431488475
234,74846.57431488475
235,75282.69164149214
236,75782.69164149214
237,76347.35208676256
238,76844.02570704138
239,76854.02570704138
240,77380.0547306086
241,77390.0547306086
242,77861.69817177398
243,77871.69817177398
244,78361.40381410148
245,78371.40381410148
246,78671.40381410148
247,78681.40381410148
248,79168.52580092571
249,79178.52580092571
250,79812.60880272652
251,79822.60880272652
252,80171.76796234213
253,80181.76796234213
254,80566.70871699881
255,80576.70871699881
256,80952.84952733657
257,80962.84952733657
258,81501.52592522546
259,81511.52592522546
260,82047.78926037467
261,82057.78926037467
262,82556.30555018419
263,82566.30555018419
264,83208.43225332636
265,83218.43225332636
266,83681.1446370902
267,83691.1446370902
268,84181.15835406908
269,84191.15835406908
270,84820.66389033622
271,84830.66389033622
272,85343.65813273648
273,85353.65813273648
274,85834.75655921758
275,85844.75655921758
276,86362.27188679518
277,86372.27188679518
278,86881.06044790648
279,86891.06044790648
280,87222.89107024393
281,87232.89107024393
282,87797.34898666358
283,87807.34898666358
284,88427.12229733959
285,88437.12229733959
286,89126.8313948541
287,89136.8313948541
288,89619.20403017421
289,89629.20403017421
290,90158.01170764507
291,90168.01170764507
292,90672.19343016224
293,90682.19343016224
294,91313.87154826289
295,91323.87154826289
296,91633.87154826289
297,92093.28458274573
298,92103.28458274573
299,92606.05696806339
300,92616.05696806339
301,93110.87386860496
302,93120.87386860496
303,93618.05620711095
304,93628.05620711095
305,93997.98275670716
306,94007.98275670716
307,94398.53992230717
308,94408.53992230717
309,94868.21541344312
310,94878.21541344312
311,95329.54040183709
312,95339.54040183709
313,95818.8096396722
314,95828.8096396722
315,96244.26587939142
316,96254.26587939142
317,96783.0567994627
318,96793.0567994627
319,97255.86491705835
320,97265.86491705835
321,97766.13635957091
322,97776.13635957091
323,98303.73826971764
324,98313.73826971764
325,98829.42920335408
326,98839.42920335408
327,99440.47968745811
328,99450.47968745811
329,100005.072763571
330,100015.072763571
331,100561.34162503394
332,100571.34162503394
333,101032.59274727503
334,101042.59274727503
335,101472.5349932903
336,101482.5349932903
337,101935.08204261963
338,101945.08204261963
339,102528.75873720628
340,102538.75873720628
341,103144.57934613075
342,103154.57934613075
343,103626.96962044196
344,103636.96962044196
345,104169.97461269054
346,104179.97461269054
347,104770.32160003735
348,104780.32160003735
349,105273.07541430407
350,105283.07541430407
351,105811.87765267077
352,105821.87765267077
353,106224.94638750097
354,106234.94638750097
355,106730.6966448663
356,107196.0850651992
357,107206.0850651992
358,107626.35794173979
359,107636.35794173979
360,108035.25674456518
361,108045.25674456518
362,108480.19590683936
363,108490.19590683936
364,108795.0506493795
365,108805.0506493795
366,109253.9164349598
367,109263.9164349598
